timestamp,question,answer,sources_json
2025-09-23T01:13:01Z,How many thesis credits must a master’s student enroll in?,at least 6 but no more than 10,"[""- Master's Thesis > Thesis Credit (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=During%20their%20degree%20program%2C%20a%20student%20completing%20a%20thesis%20must%20enroll%20in%20at%20least%206%20but%20no%20more%20than%2010%20thesis%20credits.)"", ""- Master's Degree Requirements > Credits (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=Many%20programs%20require%20substantially%20more%20than%20the%20minimum%2030%20credits.)"", ""- Certificate Programs (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=Courses%20may%20be%20applied%20to%20only%20one%20certificate%20program%20but%20may%20also%20be%20applied%20to%20a%20master%E2%80%99s%20or%20doctoral%20degree%20program%20at%20UNH.)""]"
2025-09-23T01:13:05Z,How many courses are required for a graduate certificate program?,at least 4 graduate courses for a minimum of 12 credits of graduate coursework (800- or 900-level courses) organized in a coherent and logical manner to provide knowledge and expertise relevant to a specific aspect of professional and/or personal development,"[""- Certificate Programs (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=Graduate%20certificate%20programs%20require%20the%20completion%20of%20at%20least%204%20graduate%20courses%20for%20a%20minimum%20of%2012%20credits%20of%20graduate%20coursework%20%28800-%20or%20900-level)"", ""- Ph.D. Requirements > Credits (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=Each%20program%20specifies%20the%20number%20of%20courses%20required%20for%20the%20degree.)"", ""- Master's Degree Requirements > Credits (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=In%20rare%20cases%20graduate%20degree%20students%20may%20petition%20to%20earn%20graduate%20credit%20for%20up%20to%2012%20credits%20in%20700-%C2%ADlevel%20courses%2C%20provided%20the%20credits%20are%20taken%20in%20a)""]"
2025-09-23T01:15:21Z,How many thesis credits must a master’s student enroll in?,at least 6 but no more than 10,"[""- Master's Thesis > Thesis Credit (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=During%20their%20degree%20program%2C%20a%20student%20completing%20a%20thesis%20must%20enroll%20in%20at%20least%206%20but%20no%20more%20than%2010%20thesis%20credits.)"", ""- Master's Degree Requirements > Credits (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=Many%20programs%20require%20substantially%20more%20than%20the%20minimum%2030%20credits.)"", ""- Certificate Programs (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=Courses%20may%20be%20applied%20to%20only%20one%20certificate%20program%20but%20may%20also%20be%20applied%20to%20a%20master%E2%80%99s%20or%20doctoral%20degree%20program%20at%20UNH.)""]"
2025-09-23T01:15:25Z,How many courses are required for a graduate certificate program?,at least 4 graduate courses for a minimum of 12 credits of graduate coursework (800- or 900-level courses) organized in a coherent and logical manner to provide knowledge and expertise relevant to a specific aspect of professional and/or personal development,"[""- Certificate Programs (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=Graduate%20certificate%20programs%20require%20the%20completion%20of%20at%20least%204%20graduate%20courses%20for%20a%20minimum%20of%2012%20credits%20of%20graduate%20coursework%20%28800-%20or%20900-level)"", ""- Ph.D. Requirements > Credits (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=Each%20program%20specifies%20the%20number%20of%20courses%20required%20for%20the%20degree.)"", ""- Master's Degree Requirements > Credits (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=In%20rare%20cases%20graduate%20degree%20students%20may%20petition%20to%20earn%20graduate%20credit%20for%20up%20to%2012%20credits%20in%20700-%C2%ADlevel%20courses%2C%20provided%20the%20credits%20are%20taken%20in%20a)""]"
2025-09-24T01:33:30Z,How many thesis credits must a master’s student enroll in?,"at least 30 graduate credits , which include the credits accumulated in the core curriculum. Students in the thesis option must satisfactorily complete at least 30 graduate credits , which include the credits accumulated in the core curriculum. Students in this option must complete a master's thesis 6 credits , which include the credits accumulated in the core curriculum. Students in this option must complete a master's thesis 6 credits , which include the credits accumulated in the core curriculum. Students in this option must complete a master's thesis 6 credits , which include the credits accumulated in the core curriculum. Students","[""- Thesis Option (https://catalog.unh.edu/graduate/programs-study/earth-sciences/earth-sciences-ms/#:~:text=Students%20in%20the%20thesis%20option%20must%20satisfactorily%20complete%20at%20least%2030%20graduate%20credits%20%2C%20which%20include%20the%20credits%20accumulated%20in%20the%20core%20curriculum.)"", ""- Thesis Option (https://catalog.unh.edu/graduate/programs-study/earth-sciences/earth-sciences-geochemical-systems-ms/#:~:text=Students%20in%20the%20thesis%20option%20must%20satisfactorily%20complete%20at%20least%2030%20graduate%20credits%20%2C%20which%20include%20the%20credits%20accumulated%20in%20the%20core%20curriculum.)"", ""- Thesis Option (https://catalog.unh.edu/graduate/programs-study/earth-sciences/earth-sciences-ocean-mapping-ms/#:~:text=Students%20in%20the%20thesis%20option%20must%20satisfactorily%20complete%20at%20least%2030%20graduate%20credits%20%2C%20which%20include%20the%20credits%20accumulated%20in%20the%20core%20curriculum.)""]"
2025-09-24T01:33:49Z,What is the time limit for a master’s degree?,four years,"[""- Master's Time Limit (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=All%20graduate%20work%20for%20any%20master%27s%20degree%20must%20normally%20be%20completed%20within%20four%20years%20from%20the%20date%20of%20matriculation%20%28enrollment%20following%20admission%29%20in%20the)"", ""- Doctoral Time Limits (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=Years%20on%20leave%20do%20not%20count%20toward%20the%20time%20limit.)"", ""- Degree Requirements (https://catalog.unh.edu/graduate/programs-study/education/secondary-education-mat/#:~:text=The%20M.A.T.)""]"
2025-09-24T01:33:53Z,How many courses are required for a graduate certificate program?,at least 4 graduate courses for a minimum of 12 credits of graduate coursework (800- or 900-level courses) organized in a coherent and logical manner to provide knowledge and expertise relevant to a specific aspect of professional and/or personal development,"[""- Certificate Programs (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=Graduate%20certificate%20programs%20require%20the%20completion%20of%20at%20least%204%20graduate%20courses%20for%20a%20minimum%20of%2012%20credits%20of%20graduate%20coursework%20%28800-%20or%20900-level)"", ""- Ph.D. Requirements > Credits (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=Each%20program%20specifies%20the%20number%20of%20courses%20required%20for%20the%20degree.)"", ""- Certificate Requirements (https://catalog.unh.edu/graduate/programs-study/geospatial-science/geospatial-science-certificate/#:~:text=The%20certificate%20consists%20of%20completing%20five%20courses%20%2816%20credits%29.)""]"
2025-09-24T01:34:00Z,Are Ph.D. students assigned a guidance committee?,Yes,"[""- Ph.D. Requirements > Guidance Committee (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=A%20guidance%20committee%20should%20be%20appointed%20by%20the%20program%20faculty%20as%20soon%20as%20possible%20after%20a%20student%20has%20begun%20study%20for%20the%20Ph.D.)"", ""- Ph.D. Requirements (https://catalog.unh.edu/graduate/programs-study/biochemistry/biochemistry-phd/#:~:text=However%2C%20only%20three%20members%20of%20the%20Guidance%20Committee%20are%20required%20for%20the%20second-year%20exam.)"", ""- Degree Requirements (https://catalog.unh.edu/graduate/programs-study/nutritional-sciences/nutritional-sciences-phd/#:~:text=Guidance%20and%20Dissertation%20Committees%20%3A%20During%20the%20first%20semester%2C%20the%20student%20and%20advisor%20jointly%20select%20members%20of%20a%20guidance%20committee.)""]"
2025-09-24T01:34:08Z,Tell me about the nursing certification,The nursing certification is the equivalent of a nursing degree.,"[""- Nursing (D.N.P.) (https://catalog.unh.edu/graduate/programs-study/nursing/nursing-dnp/)"", ""- Nursing (NURS) (https://catalog.unh.edu/graduate/course-descriptions/nurs/)""]"
2025-09-24T01:34:51Z,What are the admission requirements for the nursing program?,"Standard Graduate School requirements, the Nursing Department requires: Courses: Nursing: Direct Entry (M.S.) Courses: Nursing: Direct Entry (M.S.)","[""- Admission Requirements > Post-Master's Certification Admission Requirements (https://catalog.unh.edu/graduate/programs-study/nursing/#:~:text=In%20addition%20to%20the%20standard%20Graduate%20School%20requirements%2C%20the%20Nursing%20Department%20requires%3A)"", ""- Nursing: Direct Entry (M.S.) (https://catalog.unh.edu/graduate/programs-study/nursing/nursing-direct-entry-ms/)""]"
2025-09-24T01:37:10Z,Who approves a master’s thesis?,a committee composed of a regular member of the graduate faculty under whose direction it was written and two other members of the graduate faculty nominated by the department chairperson or graduate program coordinator and appointed by the dean of the Graduate School,"[""- Master's Thesis > Thesis Committee (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=A%20master%27s%20thesis%20must%20be%20approved%20by%20a%20committee%20composed%20of%20a%20regular%20member%20of%20the%20graduate%20faculty%20under%20whose%20direction%20it%20was%20written%20and%20two%20other)"", ""- M.S. Degree Requirements (https://catalog.unh.edu/graduate/programs-study/biochemistry/biochemistry-ms/#:~:text=Final%20approval%20of%20the%20master%27s%20thesis%20will%20be%20determined%20by%20an%20affirmative%20majority%20vote%20of%20the%20Thesis%20Committee.)"", ""- Degree Requirements (https://catalog.unh.edu/graduate/programs-study/psychology/psychology-phd/#:~:text=Prior%20to%20the%20doctoral%20dissertation%2C%20the%20student%20carries%20out%20original%20research%20that%20culminates%20in%20either%20a%20master%27s%20thesis%20or%20a%20paper%20of%20publishable%20quality.)""]"
2025-09-24T01:37:49Z,What happens if an accelerated master’s student earns below B- in a graduate course while in dual status?,Accelerated admission enables students to take graduate certificate courses at the 800-level in the J term and spring semester of their senior year as they complete their BS degree,"[""- Admission Requirements > UNH BS/MS Students Applying to the Graduate Certificate Program in Assistive Technology and the Advanced Standing MS Program (https://catalog.unh.edu/graduate/programs-study/occupational-therapy/#:~:text=Students%20interested%20in%20earning%20a%20dual%20degree%2C%20an%20Assistive%20Technology%20Graduate%20Certificate%20and%20a%20Master%27s%20in%20Occupational%20Therapy%2C%20apply%20in%20the%20fall%20semester)"", ""- Additional Information (https://catalog.unh.edu/graduate/programs-study/social-work/social-work-msw/#:~:text=The%20Accelerated%20Masters%20%28also%20referred%20to%20as%20early%20entry%29%20program%20allows%20you%20to%20take%20graduate%20credit%20course%20senior%20year%20and%20have%20greater%20access%20to%20MSW%20elective)"", ""- Accelerated Master's Overview (https://catalog.unh.edu/graduate/programs-study/accounting-finance/accounting-ms/#:~:text=Accelerated%20Master%E2%80%99s%20programs%20offer%20qualified%20University%20of%20New%20Hampshire%20undergraduate%20students%20the%20opportunity%20to%20begin%20graduate%20coursework%20in%20select)""]"
2025-09-24T01:38:06Z,How many chances do master’s or Ed.S. students get to pass their final exam?,3,"[""- Capstone Experience > Comprehensive Examination (Non-thesis) (https://catalog.unh.edu/graduate/programs-study/communication-sciences-disorders/communication-sciences-disorders-ms/#:~:text=All%20students%20%28except%20those%20writing%20a%20thesis%29%20must%20pass%20a%20Comprehensive%20Examination%20designed%20to%20assess%20their%20mastery%20of%20and%20ability%20to%20integrate%20information)"", ""- Ph.D. Requirements (https://catalog.unh.edu/graduate/programs-study/biochemistry/biochemistry-phd/#:~:text=Students%20who%20cannot%20pass%20the%20qualifying%20exam%20after%202%20nd%20trial%20are%20advised%20to%20pursue%20a%20master%E2%80%99s%20degree.)"", ""- Academic Standards (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/academic-standards/#:~:text=Thus%2C%20students%20may%20be%20dismissed%20if%20they%20accumulate%20fewer%20than%209%20credits%20below%20the%20%22B%C2%AD-%22%20level%2C%20and/or%20fail%20to%20make%20adequate%20progress%20in%20other%20aspects%20of%20their)""]"
2025-09-24T01:38:17Z,Can 700-level courses count for graduate credit?,Yes,"[""- 800 and 900­ Level Courses (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/courses/#:~:text=800-%C2%AD%20and%20900%C2%AD-%20level%20courses%20are%20offered%20for%20graduate%20credit%20only%20and%20therefore%20are%20open%20only%20to%20admitted%20graduate%20students%20or%20non%C2%AD-degree%20students%20with%20a)"", ""- 700 Level Courses (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/courses/#:~:text=In%20rare%20cases%20graduate%20degree%20students%20may%20petition%20to%20earn%20graduate%20credit%20for%20up%20to%2012%20credits%20in%20700-%C2%ADlevel%20courses%2C%20provided%20the%20credits%20are%20taken%20in%20a)"", ""- Additional Information (https://catalog.unh.edu/graduate/programs-study/decision-sciences/business-analytics-ms/#:~:text=Students%20may%20complete%20up%20to%206%20graduate%20%28800-level%29%20course%20credits%20while%20completing%20a%20bachelor%27s%20degree.)""]"
2025-09-24T01:54:20Z,How many thesis credits must a master’s student enroll in?,"at least 30 graduate credits , which include the credits accumulated in the core curriculum. Students in the thesis option must satisfactorily complete at least 30 graduate credits , which include the credits accumulated in the core curriculum. Students in this option must complete a master's thesis 6 credits , which include the credits accumulated in the core curriculum. Students in this option must complete a master's thesis 6 credits , which include the credits accumulated in the core curriculum. Students in this option must complete a master's thesis 6 credits , which include the credits accumulated in the core curriculum. Students","[""- Thesis Option (https://catalog.unh.edu/graduate/programs-study/earth-sciences/earth-sciences-ms/#:~:text=Students%20in%20the%20thesis%20option%20must%20satisfactorily%20complete%20at%20least%2030%20graduate%20credits%20%2C%20which%20include%20the%20credits%20accumulated%20in%20the%20core%20curriculum.)"", ""- Thesis Option (https://catalog.unh.edu/graduate/programs-study/earth-sciences/earth-sciences-geochemical-systems-ms/#:~:text=Students%20in%20the%20thesis%20option%20must%20satisfactorily%20complete%20at%20least%2030%20graduate%20credits%20%2C%20which%20include%20the%20credits%20accumulated%20in%20the%20core%20curriculum.)"", ""- Thesis Option (https://catalog.unh.edu/graduate/programs-study/earth-sciences/earth-sciences-ocean-mapping-ms/#:~:text=Students%20in%20the%20thesis%20option%20must%20satisfactorily%20complete%20at%20least%2030%20graduate%20credits%20%2C%20which%20include%20the%20credits%20accumulated%20in%20the%20core%20curriculum.)""]"
2025-09-24T01:54:23Z,What is the Corporate Finance course?,Accounting and Finance Faculty,"[""- Finance (M.S.) (https://catalog.unh.edu/graduate/programs-study/accounting-finance/finance-ms/)"", ""- Accounting and Finance Faculty (https://paulcollege.unh.edu/directory/all?first_name=&last_name=&role=All&category=98&department=)""]"
2025-09-24T02:00:59Z,Who is Scott Berube?,"Scott Berube is a professor of public policy at the University of California, Los Angeles.","[""- ESCI 998 - Proposal Development (https://catalog.unh.edu/graduate/programs-study/earth-sciences/#:~:text=Earth%20Sciences%20Faculty)"", ""- McNair Graduate Opportunity Program (https://catalog.unh.edu/graduate/general-information/#:~:text=www.unh.edu/mcnair)"", ""- PA 908A - Capstone in Public Administration (https://catalog.unh.edu/graduate/programs-study/public-administration/#:~:text=Carsey%20School%20of%20Public%20Policy%20Faculty)""]"
2025-09-24T02:02:59Z,What is the Corporate Finance course?,Accounting and Finance (ACFI) Courses: Economics (ECON) Courses: Management (MGMT) CPSO,"[""- Accounting and Finance (ACFI) (https://catalog.unh.edu/graduate/course-descriptions/acfi/)"", ""- Economics (ECON) (https://catalog.unh.edu/graduate/course-descriptions/econ/)"", ""- Management (MGMT) CPSO (https://catalog.unh.edu/graduate/course-descriptions/mgmt/)""]"
2025-09-24T19:37:05Z,How many courses are required for a graduate certificate program?,at least 4 graduate courses for a minimum of 12 credits of graduate coursework (800- or 900-level courses) organized in a coherent and logical manner to provide knowledge and expertise relevant to a specific aspect of professional and/or personal development,"[""- Certificate Programs (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=Graduate%20certificate%20programs%20require%20the%20completion%20of%20at%20least%204%20graduate%20courses%20for%20a%20minimum%20of%2012%20credits%20of%20graduate%20coursework%20%28800-%20or%20900-level)"", ""- Ph.D. Requirements > Credits (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=Each%20program%20specifies%20the%20number%20of%20courses%20required%20for%20the%20degree.)"", ""- Master's Degree Requirements > Credits (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=In%20rare%20cases%20graduate%20degree%20students%20may%20petition%20to%20earn%20graduate%20credit%20for%20up%20to%2012%20credits%20in%20700-%C2%ADlevel%20courses%2C%20provided%20the%20credits%20are%20taken%20in%20a)""]"
2025-09-24T19:37:06Z,How many courses are required for a graduate certificate program?,at least 4 graduate courses for a minimum of 12 credits of graduate coursework (800- or 900-level courses) organized in a coherent and logical manner to provide knowledge and expertise relevant to a specific aspect of professional and/or personal development,"[""- Certificate Programs (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=Graduate%20certificate%20programs%20require%20the%20completion%20of%20at%20least%204%20graduate%20courses%20for%20a%20minimum%20of%2012%20credits%20of%20graduate%20coursework%20%28800-%20or%20900-level)"", ""- Ph.D. Requirements > Credits (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=Each%20program%20specifies%20the%20number%20of%20courses%20required%20for%20the%20degree.)"", ""- Master's Degree Requirements > Credits (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=In%20rare%20cases%20graduate%20degree%20students%20may%20petition%20to%20earn%20graduate%20credit%20for%20up%20to%2012%20credits%20in%20700-%C2%ADlevel%20courses%2C%20provided%20the%20credits%20are%20taken%20in%20a)""]"
2025-09-24T19:37:08Z,How many courses are required for a graduate certificate program?,at least 4 graduate courses for a minimum of 12 credits of graduate coursework (800- or 900-level courses) organized in a coherent and logical manner to provide knowledge and expertise relevant to a specific aspect of professional and/or personal development,"[""- Certificate Programs (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=Graduate%20certificate%20programs%20require%20the%20completion%20of%20at%20least%204%20graduate%20courses%20for%20a%20minimum%20of%2012%20credits%20of%20graduate%20coursework%20%28800-%20or%20900-level)"", ""- Ph.D. Requirements > Credits (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=Each%20program%20specifies%20the%20number%20of%20courses%20required%20for%20the%20degree.)"", ""- Master's Degree Requirements > Credits (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=In%20rare%20cases%20graduate%20degree%20students%20may%20petition%20to%20earn%20graduate%20credit%20for%20up%20to%2012%20credits%20in%20700-%C2%ADlevel%20courses%2C%20provided%20the%20credits%20are%20taken%20in%20a)""]"
2025-09-25T21:18:41Z,How many thesis credits must a master’s student enroll in?,at least 6 but no more than 10,"[""- Master's Thesis > Thesis Credit (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=During%20their%20degree%20program%2C%20a%20student%20completing%20a%20thesis%20must%20enroll%20in%20at%20least%206%20but%20no%20more%20than%2010%20thesis%20credits.)"", ""- Master's Degree Requirements > Credits (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=Many%20programs%20require%20substantially%20more%20than%20the%20minimum%2030%20credits.)"", ""- Certificate Programs (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=Courses%20may%20be%20applied%20to%20only%20one%20certificate%20program%20but%20may%20also%20be%20applied%20to%20a%20master%E2%80%99s%20or%20doctoral%20degree%20program%20at%20UNH.)""]"
2025-09-25T21:20:21Z,accounting courses,Accounting and Finance (ACFI) Courses: Management (MGMT) CPSO Courses: Graduate School (GRAD),"[""- Accounting and Finance (ACFI) (https://catalog.unh.edu/graduate/course-descriptions/acfi/)"", ""- Management (MGMT) CPSO (https://catalog.unh.edu/graduate/course-descriptions/mgmt/)"", ""- Graduate School (GRAD) (https://catalog.unh.edu/graduate/course-descriptions/grad/)""]"
2025-09-25T21:35:04Z,accounting courses,Accounting and Finance (ACFI) Courses: Management (MGMT) CPSO Courses: Graduate School (GRAD),"[""- Accounting and Finance (ACFI) (https://catalog.unh.edu/graduate/course-descriptions/acfi/)"", ""- Management (MGMT) CPSO (https://catalog.unh.edu/graduate/course-descriptions/mgmt/)"", ""- Graduate School (GRAD) (https://catalog.unh.edu/graduate/course-descriptions/grad/)""]"
2025-09-25T21:36:08Z,accounting courses,Accounting and Finance (ACFI) Courses: Management (MGMT) CPSO Courses: Graduate School (GRAD),"[""- Accounting and Finance (ACFI) (https://catalog.unh.edu/graduate/course-descriptions/acfi/)"", ""- Management (MGMT) CPSO (https://catalog.unh.edu/graduate/course-descriptions/mgmt/)"", ""- Graduate School (GRAD) (https://catalog.unh.edu/graduate/course-descriptions/grad/)""]"
2025-09-25T21:38:28Z,accounting courses,Accounting and Finance (ACFI) Courses: Management (MGMT) CPSO Courses: Graduate School (GRAD),"[""- Accounting and Finance (ACFI) (https://catalog.unh.edu/graduate/course-descriptions/acfi/)"", ""- Management (MGMT) CPSO (https://catalog.unh.edu/graduate/course-descriptions/mgmt/)"", ""- Graduate School (GRAD) (https://catalog.unh.edu/graduate/course-descriptions/grad/)""]"
2025-09-25T21:43:39Z,accounting courses,Accounting and Finance (ACFI) Courses: Management (MGMT) CPSO Courses: Graduate School (GRAD),"[""- Accounting and Finance (ACFI) (https://catalog.unh.edu/graduate/course-descriptions/acfi/)"", ""- Management (MGMT) CPSO (https://catalog.unh.edu/graduate/course-descriptions/mgmt/)"", ""- Graduate School (GRAD) (https://catalog.unh.edu/graduate/course-descriptions/grad/)""]"
2025-09-25T21:47:35Z,accounting coursesaccounting courses,Accounting and Finance (ACFI) Courses: Management (MGMT) CPSO Courses: Education (EDC) CPSO,"[""- Accounting and Finance (ACFI) (https://catalog.unh.edu/graduate/course-descriptions/acfi/)"", ""- Management (MGMT) CPSO (https://catalog.unh.edu/graduate/course-descriptions/mgmt/)"", ""- Education (EDC) CPSO (https://catalog.unh.edu/graduate/course-descriptions/edc/)""]"
